0 0 0 
 7.96845 493.532 -82.3273 
0 0 0 
 -2.58219 504.57 22.8932 
0 0 0 
 201.517 452.543 29.9128 
0 0 0 
 337.204 345.164 32.7064 
0 0 0 
 482.59 171.93 46.705 
0 0 0 
 530.642 -47.5693 43.9933 
0 0 0 
 487.866 -236.738 52.2756 
0 0 0 
 348.479 -357.825 39.68 
0 0 0 
 -189.215 467.768 29.4268 
0 0 0 
 -384.959 349.219 16.3248 
0 0 0 
 -499.553 158.427 34.1713 
0 0 0 
 -505.378 -90.6567 39.1718 
0 0 0 
 -453.212 -272.722 26.4463 
0 0 0 
 -283.98 -445.017 22.0789 
0 0 0 
 -186.576 -482.167 144.459 
0 0 0 
 -376.005 -317.083 136.793 
0 0 0 
 -471.507 -88.9966 159.951 
0 0 0 
 -452.433 149.728 147.344 
0 0 0 
 -307.93 357.651 127.633 
0 0 0 
 -79.3909 445.356 131.5 
0 0 0 
 167.054 440.741 141.915 
0 0 0 
 372.757 321.552 161.748 
0 0 0 
 439.72 82.6342 149.888 
0 0 0 
 407.601 -153.521 154.838 
0 0 0 
 41.7839 -420.772 251.49 
0 0 0 
 255.291 -350.661 123.773 
0 0 0 
 275.631 -354.951 270.745 
0 0 0 
 394.944 -161.223 295.307 
0 0 0 
 402.147 38.1825 275.585 
0 0 0 
 341.12 274.947 269.232 
0 0 0 
 188.318 402.227 274.449 
0 0 0 
 -61.595 445.111 260.444 
0 0 0 
 -271.907 363.149 259.903 
0 0 0 
 -344.858 240.357 251.375 
0 0 0 
 -429.042 18.6363 245.556 
0 0 0 
 -416.792 -217.711 272.12 
0 0 0 
 -269.515 -389.036 266.471 
0 0 0 
 -289.802 -319.902 314.547 
0 0 0 
 -309.448 -236.367 341.791 
0 0 0 
 -336.621 -50.6136 339.41 
0 0 0 
 -301.338 156.988 308.937 
0 0 0 
 -177.274 300.197 333.564 
0 0 0 
 16.4053 337.826 316.547 
0 0 0 
 223.887 235.208 327.591 
0 0 0 
 325.213 49.0222 332.067 
0 0 0 
 290.085 -86.7297 350.854 
0 0 0 
 198.517 -308.588 359.436 
0 0 0 
 -240.664 23.0133 408.634 
0 0 0 
 -159.057 215.512 429.162 
0 0 0 
 40.6514 278.103 442.094 
0 0 0 
 -126.984 51.5998 451.641 
0 0 0 
 183.835 174.828 422.413 
0 0 0 
 185.367 -109.884 432.115 
0 0 0 
 -30.0354 -232.358 443.592 
0 0 0 
 21.773 -148.868 504.842 
0 0 0 
 10.9901 -35.3738 468.2 
0 0 0 
 10.8315 49.1986 477.32 
0 0 0 
 9.99088 184.239 439.982 
0 0 0 
 -174.189 -100.298 459.246 
0 0 0 
 207.026 10.364 428.776 
0 0 0 
 -9.83536 -366.81 368.551 
0 0 0 
 221.616 473.419 -109.348 
0 0 0 
 406.048 328.881 -85.3782 
0 0 0 
 381.658 189.878 -82.1521 
0 0 0 
 419.49 -41.4915 -70.2731 
0 0 0 
 369.548 -226.819 -62.0173 
0 0 0 
 236.669 -343.605 -67.7205 
0 0 0 
 -208.421 411.121 -96.9289 
0 0 0 
 -389.598 257.552 -70.5251 
0 0 0 
 -449.453 44.5761 -61.7293 
0 0 0 
 -466.68 -210.037 -60.8577 
0 0 0 
 -261.617 -452.321 -45.2371 
0 0 0 
 -205.907 -501.961 98.2058 
0 0 0 
 -174.259 -440.459 313.249 
0 0 0 
 163.812 -501.847 -191.082 
0 0 0 
 38.0895 -525.791 -177.598 
0 0 0 
 -82.4469 -509.234 -187.792 
